houtskool           	hAutsko:l           
houwen              	hAuw@n              
huer                	hyr                 
huilebalk           	h9yl@bAlk           
huilen              	h9yl@n              
huilende            	h9yl@nd@            
huilt               	h9ylt               
huis                	h9ys                
huizen              	h9yz@n              
hulp                	hYlp                
hun                 	hYn                 
hunne               	hYn@                
hy                  	hi                  
hyze                	hiz@                
ibi                 	Ibi                 
iemand              	imAnt               
ien                 	in                  
iens                	ins                 
iets                	its                 
ik                  	Ik                  
immensis            	Im@nsIs             
impregnavit         	Impr@xnAvIt         
in                  	In                  
inbeelden           	Inb@ld@n            
influeren           	Inflyr@n            
inhoude             	InhAud@             
inne                	In@                 
insonderheid        	InsOnd@h@t          
interpoosen         	Int@po:s@n          
intreên            	Intr@n              
inwendige           	Inw@ndIg@           
is                  	Is                  
ja                  	ja:                 
jaagen              	ja:x@n              
jaap                	ja:p                
jaapje              	ja:pj@              
jaar                	ja:r                
jaaren              	ja:r@n              
jaars               	ja:rs               
jacht               	jAxt                
jachtig             	jAxtIg              
jaegt               	ja:xt               
jaep                	ja:p                
jaer                	ja:r                
jaeren              	ja:r@n              
jan                 	jAn                 
janken              	jAnk@n              
janne               	jAn@                
jannetje            	jAn@tj@             
je                  	j@                  
jegens              	j@x@ns              
jem                 	j@m                 
jemy                	j@mi                
jesse               	j@s@                
jet                 	j@t                 
jochem              	jOx@m               
jongen              	jON@n               
jongmans            	jONmAns             
jongspel            	jONsp@l             
jongspul            	jONspYl             
jons                	jOns                
joppen              	jOpp@n              
jou                 	jAu                 
joului              	jAul9y              
jouwen              	jAuw@n              
jouwent             	jAuw@nt             
juffrouw            	jYfrAuw             
juist               	j9yst               
jy                  	ji                  
kaarsen             	ka:rs@n             
kaart               	ka:rt               
kaele               	ka:l@               
kal                 	kAl                 
kalf                	kAlf                
kan                 	kAn                 
kans                	kAns                
kansje              	kAnsj@              
kant                	kAnt                
kap                 	kAp                 
keel                	k@l                 
keeren              	k@r@n               
keert               	k@rt                
kees                	k@s                 
ken                 	k@n                 
kenje               	k@nj@               
kennis              	k@nIs               
kent                	k@nt                
kies                	kis                 
kind                	kInt                
kindsgebeenten      	kIndsx@b@nt@n       
kinkel              	kInk@l              
kinkels             	kInk@ls             
klaar               	kla:r               
klaare              	kla:r@              
klaartje            	kla:rtj@            
klacht              	klAxt               
klachten            	klAxt@n             
klad                	klAt                
kladde              	klAd@               
klaer               	kla:r               
klaeren             	kla:r@n             
klappen             	klApp@n             
kleeren             	kl@r@n              
kleêren            	kl@r@n              
klerk               	kl@k                
klompen             	klOmp@n             
klop                	klOp                
kloppen             	klOpp@n             
kloppende           	klOpp@nd@           
klopt               	klOpt               
klouwen             	klAuw@n             
kluiten             	kl9yt@n             
knaphandig          	knAphAndIg          
kneep               	kn@p                
kneepen             	kn@p@n              
kneppels            	kn@pp@ls            
knie                	kni                 
knier               	knir                
kniertje            	knirtj@             
knikkebeen          	knIkk@b@n           
knikkende           	knIkk@nd@           
knikt               	knIkt               
knoesten            	knust@n             
knol                	knOl                
knollen             	knOl@n              
knolles             	knOl@s              
knoppen             	knOpp@n             
koek                	kuk                 
koeken              	kuk@n               
kom                 	kOm                 
kommer              	kOm@                
komt                	kOmt                
kon                 	kOn                 
koningen            	kOnIN@n             
kool                	ko:l                
koomen              	ko:m@n              
koop                	ko:p                
koos                	ko:s                
koot                	ko:t                
kop                 	kOp                 
koppelaar           	kOpp@la:r           
kosten              	kOst@n              
koud                	kAut                
kraag               	kra:x               
kraajen             	kra:i@n             
kraam               	kra:m               
kraamtyd            	kra:mtit            
krabben             	krAb@n              
kracht              	krAxt               
krachten            	krAxt@n             
kraeken             	kra:k@n             
kreeg               	kr@x                
kreek               	kr@k                
krenken             	kr@nk@n             
krenten             	kr@nt@n             
krieken             	krik@n              
krielen             	kril@n              
kruipen             	kr9yp@n             
kruis               	kr9ys               
krukken             	krYkk@n             
krygen              	krix@n              
krygende            	krix@nd@            
kryn                	krin                
krynen              	krin@n              
kunnen              	kYn@n               
kunst               	kYnst               
kunt                	kYnt                
kusje               	kYsj@               
kusjes              	kYsj@s              
kwaad               	kwa:t               
kwae                	kwa:                
kwam                	kwAm                
kwast               	kwAst               
kwellen             	kw@l@n              
kwyl                	kwil                
kwyt                	kwit                
kyk                 	kik                 
kyken               	kik@n               
kykuit              	kik9yt              
kynd                	kInt                
kyven               	kiv@n               
laan                	la:n                
laat                	la:t                
laaten              	la:t@n              
laater              	la:t@               
laatste             	la:tst@             
laazen              	la:z@n              
lachen              	lAx@n               
laelyk              	la:lIk              
laen                	la:n                
laet                	la:t                
laeten              	la:t@n              
lag                 	lAx                 
lam                 	lAm                 
land                	lAnt                
lande               	lAnd@               
landen              	lAnd@n              
lang                	lAN                 
lange               	lAN@                
langs               	lANs                
langzaam            	lANza:m             
lap                 	lAp                 
lapje               	lApj@               
las                 	lAs                 
laste               	lAst@               
lasten              	lAst@n              
ledig               	l@dIg               
leed                	l@t                 
leek                	l@k                 
leelyk              	l@lIk               
leen                	l@n                 
leeren              	l@r@n               
leert               	l@rt                
leest               	l@st                
leeven              	l@v@n               
leevens             	l@v@ns              
leezen              	l@z@n               
leg                 	l@x                 
leggen              	l@x@n               
legt                	l@xt                
lenden              	l@nd@n              
lest                	l@st                
letten              	l@t@n               
licht               	lIxt                
lichte              	lIxt@               
lichten             	lIxt@n              
lichtlyk            	lIxtlIk             
lieden              	lid@n               
liedje              	lidj@               
lief                	lif                 
liefd               	lift                
liefde              	lifd@               
liefdens            	lifd@ns             
lieffelyke          	lif@lIk@            
liefkoost           	lifko:st            
liefst              	lifst               
liep                	lip                 
liet                	lit                 
lieve               	liv@                
liên               	lin                 
ligt                	lIxt                
lijen               	li@n                
likken              	lIkk@n              
linden              	lInd@n              
lippen              	lIpp@n              
loeren              	lur@n               
loerend             	lur@nt              
lompe               	lOmp@               
lompen              	lOmp@n              
loof                	lo:f                
loogen              	lo:x@n              
loopen              	lo:p@n              
los                 	lOs                 
lossen              	lOs@n               
louwtjens           	lAuwtj@ns           
lubben              	lYb@n               
luidkeels           	l9ydk@ls            
luimen              	l9ym@n              
luisenek            	l9ys@n@k            
luistren            	l9ystr@n            
luitjes             	l9ytj@s             
lukken              	lYkk@n              
lust                	lYst                
lustig              	lYstIg              
luy                 	lYi                 
luyster             	lYIst@              
ly                  	li                  
lyd                 	lit                 
lydde               	lId@                
lyden               	lid@n               
lyf                 	lif                 
lyjen               	lij@n               
lywaat              	liwa:t              
maag                	ma:x                
maak                	ma:k                
maaken              	ma:k@n              
maakende            	ma:k@nd@            
maakje              	ma:kj@              
maakt               	ma:kt               
maal                	ma:l                
maand               	ma:nt               
maanden             	ma:nd@n             
maanlicht           	ma:nlIxt            
maar                	ma:r                
macht               	mAxt                
maek                	ma:k                
maeken              	ma:k@n              
maekt               	ma:kt               
maenen              	ma:n@n              
maer                	ma:r                
maet                	ma:t                
mag                 	mAx                 
magt                	mAxt                
mai                 	mAi                 
mal                 	mAl                 
malkaar             	mAlka:r             
malle               	mAl@                
mallen              	mAl@n               
man                 	mAn                 
mand                	mAnt                
manden              	mAnd@n              
mannen              	mAn@n               
mannenbroek         	mAn@nbruk           
mannenhuis          	mAn@nh9ys           
mans                	mAns                
manu                	mAny                
maski               	mAski               
mat                 	mAt                 
me                  	m@                  
mede                	m@d@                
medely              	m@d@li              
mee                 	m@                  
meed                	m@t                 
meede               	m@d@                
meedoogend          	m@do:x@nt           
meen                	m@n                 
meenen              	m@n@n               
meening             	m@nIN               
meenj               	m@nj                
meent               	m@nt                
meer                	m@r                 
meest               	m@st                
meeste              	m@st@               
meesten             	m@st@n              
meezen              	m@z@n               
meê                	m@                  
meêr               	m@r                 
mekaer              	m@ka:r              
melis               	m@lIs               
men                 	m@n                 
menig               	m@nIg               
menigmaalen         	m@nIxma:l@n         
